cap_ave numeric,remove,ooo,money,free,our,char_$,char_!,class
3.756,1,1,1,2,2,1,3,spam
5.114,2,2,2,1,2,2,2,spam
9.821,2,2,1,1,2,2,2,spam
3.537,2,1,1,2,2,1,2,spam
3.537,2,1,1,2,2,1,2,spam
3,1,1,1,1,2,1,1,spam
1.671,1,1,1,2,2,1,2,spam
2.45,1,1,1,1,2,1,1,spam
9.744,2,1,2,1,2,2,2,spam
1.729,2,1,1,1,2,1,2,spam
1.312,2,1,1,1,1,1,3,spam
1.243,2,1,1,1,2,1,3,spam
3.728,1,1,1,2,2,1,3,spam
2.083,2,1,1,1,2,1,1,spam
4.652,1,1,1,1,2,1,3,spam
35.461,1,2,1,1,1,2,3,spam
3.509,1,2,2,2,2,2,1,spam
3.833,1,1,1,1,1,1,3,spam
4.857,1,1,1,2,2,1,3,spam
1.131,1,1,1,2,2,1,3,spam
5.466,1,1,1,1,1,2,2,spam
5.466,1,1,1,1,1,2,2,spam
2.611,2,1,2,1,1,1,2,spam
4,1,1,1,2,1,1,2,spam
1.966,1,1,1,1,1,1,3,spam
3.909,1,1,1,2,1,1,3,spam
1.39,1,1,2,2,2,1,1,spam
1.7,1,1,1,1,1,2,1,spam
3.826,1,1,1,1,1,1,1,spam
2.777,1,1,1,1,1,1,3,spam
5.431,2,2,1,2,2,2,3,spam
3.1,1,1,1,2,2,1,3,spam
2.132,1,1,2,1,2,2,2,spam
4,1,1,1,2,2,1,3,spam
1.283,2,1,1,1,2,1,3,spam
2.145,2,1,1,2,2,1,3,spam
1.733,2,2,1,1,2,2,1,spam
1.468,1,2,1,2,1,1,2,spam
3.887,2,1,2,2,1,2,2,spam
2.75,1,1,1,1,2,1,1,spam
1.732,2,1,1,1,2,1,2,spam
3.833,1,1,2,1,1,2,2,spam
3.259,2,2,1,2,1,2,3,spam
2,1,1,1,2,1,1,3,spam
3.318,2,1,1,1,1,1,3,spam
2.777,1,1,1,2,2,1,3,spam
3.837,1,1,1,2,2,1,3,spam
8.586,2,1,1,1,1,1,1,spam
1.294,1,1,2,2,2,1,2,spam
1.442,2,1,1,2,2,1,1,spam
1.714,1,1,1,1,2,1,1,spam
3.184,1,1,1,2,1,1,3,spam
4.85,2,1,2,2,2,2,3,spam
1.214,2,1,1,1,1,1,3,spam
3.884,1,1,2,2,1,2,3,spam
4.548,1,2,1,1,1,1,1,spam
3.4,1,1,1,2,2,1,3,spam
3.849,1,1,1,2,2,1,3,spam
2.156,2,2,1,2,2,2,2,spam
5.13,2,2,1,2,2,2,3,spam
1.65,2,2,1,2,2,1,2,spam
1.666,1,1,1,1,1,2,1,spam
4.071,1,1,1,1,1,1,3,spam
3.071,1,2,1,2,2,1,3,spam
5.13,1,1,1,1,1,1,3,spam
4.63,2,1,2,2,2,2,3,spam
2.815,1,1,1,2,1,1,2,spam
3.353,1,1,1,1,2,1,1,spam
3.8,1,1,1,1,1,1,1,spam
6.1,2,2,2,2,1,2,2,spam
7.3,2,2,2,2,2,2,3,spam
7.3,2,2,2,2,2,2,3,spam
